2023-11-19 19:57 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.3330 | Acc: 89.45%
2023-11-19 19:57 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.2127 | Acc: 93.22%
2023-11-19 19:57 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 0.2747 | Acc: 92.04%
2023-11-19 19:57 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.3297 | Acc: 91.35%
2023-11-19 19:57 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1765 | Acc: 93.67%
2023-11-19 19:57 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.2159 | Acc: 93.47%
2023-11-19 19:57 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.4957 | Acc: 84.62%
2023-11-19 19:57 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.2735 | Acc: 89.87%
2023-11-19 19:57 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.2278 | Acc: 92.21%
2023-11-19 19:57 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 0.2363 | Acc: 92.34%
2023-11-19 19:58 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2505 | Acc: 94.23%
2023-11-19 19:58 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2092 | Acc: 93.67%
2023-11-19 19:58 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1394 | Acc: 95.48%
2023-11-19 19:58 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4956 | Acc: 84.13%
2023-11-19 19:58 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.3125 | Acc: 89.45%
2023-11-19 19:58 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1874 | Acc: 93.22%
2023-11-19 19:58 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 0.2401 | Acc: 92.69%
2023-11-19 19:58 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.3206 | Acc: 91.35%
2023-11-19 19:59 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.1919 | Acc: 94.09%
2023-11-19 19:59 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.1975 | Acc: 93.72%
2023-11-19 19:59 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.5222 | Acc: 84.62%
2023-11-19 19:59 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.2735 | Acc: 92.41%
2023-11-19 19:59 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.1939 | Acc: 92.96%
2023-11-19 19:59 Model saved! Best Val Acc: 90.75%
2023-11-19 19:59 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 0.2690 | Acc: 91.68%
2023-11-19 19:59 before_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.2651 | Acc: 92.31%
2023-11-19 20:00 before_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.1942 | Acc: 94.94%
2023-11-19 20:00 before_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1823 | Acc: 94.47%
2023-11-19 20:00 after_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.4924 | Acc: 86.54%
2023-11-19 20:00 after_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.3151 | Acc: 89.87%
2023-11-19 20:00 after_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1819 | Acc: 93.22%
2023-11-19 20:00 test_domain Round:  11 | Epochs:  55 | Domain: p | loss: 0.2757 | Acc: 91.56%
2023-11-19 20:00 before_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.2864 | Acc: 92.79%
2023-11-19 20:00 before_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.1837 | Acc: 95.36%
2023-11-19 20:01 before_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1771 | Acc: 94.22%
2023-11-19 20:01 after_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.4764 | Acc: 85.58%
2023-11-19 20:01 after_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.3190 | Acc: 89.03%
2023-11-19 20:01 after_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1546 | Acc: 94.47%
2023-11-19 20:01 test_domain Round:  12 | Epochs:  60 | Domain: p | loss: 0.2783 | Acc: 91.38%
2023-11-19 20:01 before_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.2852 | Acc: 92.31%
2023-11-19 20:01 before_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.2492 | Acc: 93.67%
2023-11-19 20:01 before_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.2192 | Acc: 93.72%
2023-11-19 20:01 after_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.4827 | Acc: 86.06%
2023-11-19 20:01 after_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.2896 | Acc: 92.83%
2023-11-19 20:01 after_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1804 | Acc: 93.47%
