2023-11-21 10:18 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.4062 | Acc: 89.45%
2023-11-21 10:18 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.1476 | Acc: 93.72%
2023-11-21 10:18 test_domain Round:   7 | Epochs:  35 | Domain: a | loss: 0.8446 | Acc: 76.51%
2023-11-21 10:18 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0222 | Acc: 99.42%
2023-11-21 10:18 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1616 | Acc: 94.94%
2023-11-21 10:19 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1135 | Acc: 95.98%
2023-11-21 10:19 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.1563 | Acc: 95.32%
2023-11-21 10:19 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4593 | Acc: 88.61%
2023-11-21 10:19 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1368 | Acc: 95.23%
2023-11-21 10:19 Model saved! Best Val Acc: 93.29%
2023-11-21 10:19 test_domain Round:   8 | Epochs:  40 | Domain: a | loss: 0.8566 | Acc: 76.76%
2023-11-21 10:19 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0229 | Acc: 99.42%
2023-11-21 10:19 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2739 | Acc: 92.41%
2023-11-21 10:20 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1860 | Acc: 94.97%
2023-11-21 10:20 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.1301 | Acc: 95.32%
2023-11-21 10:20 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4697 | Acc: 88.61%
2023-11-21 10:20 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1825 | Acc: 93.97%
2023-11-21 10:20 test_domain Round:   9 | Epochs:  45 | Domain: a | loss: 0.8666 | Acc: 76.95%
2023-11-21 10:20 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0319 | Acc: 98.83%
