2023-11-21 11:42 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.2920 | Acc: 91.35%
2023-11-21 11:42 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.2458 | Acc: 92.41%
2023-11-21 11:42 Model saved! Best Val Acc: 93.66%
2023-11-21 11:42 test_domain Round:   7 | Epochs:  35 | Domain: s | loss: 0.6807 | Acc: 78.65%
2023-11-21 11:42 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0505 | Acc: 99.42%
2023-11-21 11:42 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2648 | Acc: 93.75%
2023-11-21 11:43 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1305 | Acc: 96.62%
2023-11-21 11:43 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0589 | Acc: 98.83%
2023-11-21 11:43 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.3585 | Acc: 88.94%
2023-11-21 11:43 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.2668 | Acc: 91.98%
2023-11-21 11:43 test_domain Round:   8 | Epochs:  40 | Domain: s | loss: 0.5910 | Acc: 82.03%
2023-11-21 11:43 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0399 | Acc: 99.42%
2023-11-21 11:43 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2578 | Acc: 92.79%
2023-11-21 11:43 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.1618 | Acc: 95.36%
2023-11-21 11:43 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0684 | Acc: 98.83%
2023-11-21 11:43 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.3179 | Acc: 90.87%
2023-11-21 11:43 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2241 | Acc: 93.25%
2023-11-21 11:43 Model saved! Best Val Acc: 93.98%
2023-11-21 11:43 test_domain Round:   9 | Epochs:  45 | Domain: s | loss: 0.6736 | Acc: 79.84%
2023-11-21 11:43 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0501 | Acc: 99.42%
2023-11-21 11:44 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.2932 | Acc: 91.35%
2023-11-21 11:44 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.1874 | Acc: 94.51%
2023-11-21 11:44 after_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0501 | Acc: 98.83%
2023-11-21 11:44 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.3291 | Acc: 92.31%
2023-11-21 11:44 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.2244 | Acc: 92.41%
2023-11-21 11:44 Model saved! Best Val Acc: 94.14%
2023-11-21 11:44 test_domain Round:  10 | Epochs:  50 | Domain: s | loss: 0.6073 | Acc: 81.34%
2023-11-21 11:44 before_fed Round:  11 | Epochs:  55 | Domain: p | loss: 0.0540 | Acc: 99.42%
2023-11-21 11:44 before_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.2531 | Acc: 92.79%
2023-11-21 11:44 before_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.2125 | Acc: 93.25%
2023-11-21 11:44 after_fed Round:  11 | Epochs:  55 | Domain: p | loss: 0.0632 | Acc: 98.25%
2023-11-21 11:44 after_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.2805 | Acc: 92.31%
2023-11-21 11:44 after_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.2581 | Acc: 91.98%
2023-11-21 11:45 test_domain Round:  11 | Epochs:  55 | Domain: s | loss: 0.6354 | Acc: 80.15%
2023-11-21 11:45 before_fed Round:  12 | Epochs:  60 | Domain: p | loss: 0.0360 | Acc: 99.42%
2023-11-21 11:45 before_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.2726 | Acc: 91.83%
