2023-11-21 10:54 after_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.0468 | Acc: 97.66%
2023-11-21 10:54 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.5330 | Acc: 82.69%
2023-11-21 10:54 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.2074 | Acc: 93.47%
2023-11-21 10:54 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 0.9754 | Acc: 73.93%
2023-11-21 10:54 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0184 | Acc: 99.42%
2023-11-21 10:54 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2650 | Acc: 92.31%
2023-11-21 10:54 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1775 | Acc: 95.23%
2023-11-21 10:54 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0538 | Acc: 97.08%
2023-11-21 10:54 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.4388 | Acc: 86.54%
2023-11-21 10:54 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.2249 | Acc: 93.47%
2023-11-21 10:54 Model saved! Best Val Acc: 92.40%
2023-11-21 10:54 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 0.8110 | Acc: 77.35%
2023-11-21 10:55 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0110 | Acc: 100.00%
2023-11-21 10:55 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2336 | Acc: 93.27%
2023-11-21 10:55 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1900 | Acc: 94.72%
2023-11-21 10:55 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0513 | Acc: 97.66%
2023-11-21 10:55 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4679 | Acc: 86.06%
2023-11-21 10:55 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.2244 | Acc: 92.21%
2023-11-21 10:55 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 0.9962 | Acc: 75.43%
2023-11-21 10:55 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0216 | Acc: 99.42%
2023-11-21 10:56 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.2049 | Acc: 94.23%
2023-11-21 10:56 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.2101 | Acc: 93.47%
2023-11-21 10:56 after_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0423 | Acc: 97.66%
2023-11-21 10:56 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.4393 | Acc: 85.58%
2023-11-21 10:56 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.2597 | Acc: 91.46%
2023-11-21 10:56 test_domain Round:  10 | Epochs:  50 | Domain: c | loss: 0.9117 | Acc: 75.51%
2023-11-21 10:56 before_fed Round:  11 | Epochs:  55 | Domain: p | loss: 0.0166 | Acc: 98.83%
2023-11-21 10:56 before_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.2141 | Acc: 92.31%
2023-11-21 10:57 before_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1570 | Acc: 94.47%
2023-11-21 10:57 after_fed Round:  11 | Epochs:  55 | Domain: p | loss: 0.0611 | Acc: 97.08%
2023-11-21 10:57 after_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.4717 | Acc: 87.02%
2023-11-21 10:57 after_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.2132 | Acc: 92.46%
2023-11-21 10:57 test_domain Round:  11 | Epochs:  55 | Domain: c | loss: 0.9239 | Acc: 76.24%
2023-11-21 10:57 before_fed Round:  12 | Epochs:  60 | Domain: p | loss: 0.0133 | Acc: 100.00%
2023-11-21 10:57 before_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.3148 | Acc: 90.38%
2023-11-21 10:57 before_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1804 | Acc: 94.72%
2023-11-21 10:57 after_fed Round:  12 | Epochs:  60 | Domain: p | loss: 0.0444 | Acc: 98.25%
2023-11-21 10:57 after_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.4339 | Acc: 86.06%
2023-11-21 10:57 after_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1929 | Acc: 93.47%
2023-11-21 10:57 Model saved! Best Val Acc: 92.53%
2023-11-21 10:57 test_domain Round:  12 | Epochs:  60 | Domain: c | loss: 0.8320 | Acc: 77.52%
2023-11-21 10:58 before_fed Round:  13 | Epochs:  65 | Domain: p | loss: 0.0061 | Acc: 100.00%
2023-11-21 10:58 before_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.2666 | Acc: 92.79%
2023-11-21 10:58 before_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1666 | Acc: 92.46%
2023-11-21 10:58 after_fed Round:  13 | Epochs:  65 | Domain: p | loss: 0.0299 | Acc: 99.42%
2023-11-21 10:58 after_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.4807 | Acc: 84.62%
2023-11-21 10:58 after_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1928 | Acc: 92.96%
2023-11-21 10:58 test_domain Round:  13 | Epochs:  65 | Domain: c | loss: 0.9222 | Acc: 76.92%
2023-11-21 10:58 before_fed Round:  14 | Epochs:  70 | Domain: p | loss: 0.0416 | Acc: 97.66%
2023-11-21 10:59 before_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.2890 | Acc: 92.79%
2023-11-21 10:59 before_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1981 | Acc: 93.97%
2023-11-21 10:59 after_fed Round:  14 | Epochs:  70 | Domain: p | loss: 0.0373 | Acc: 98.25%
2023-11-21 10:59 after_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.4253 | Acc: 87.98%
2023-11-21 10:59 after_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.2127 | Acc: 93.22%
2023-11-21 10:59 Model saved! Best Val Acc: 92.91%
2023-11-21 10:59 test_domain Round:  14 | Epochs:  70 | Domain: c | loss: 0.9745 | Acc: 75.73%
2023-11-21 10:59 before_fed Round:  15 | Epochs:  75 | Domain: p | loss: 0.0090 | Acc: 100.00%
2023-11-21 10:59 before_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.2650 | Acc: 92.79%
2023-11-21 11:00 before_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1973 | Acc: 94.47%
2023-11-21 11:00 after_fed Round:  15 | Epochs:  75 | Domain: p | loss: 0.0551 | Acc: 96.49%
2023-11-21 11:00 after_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.4702 | Acc: 85.10%
2023-11-21 11:00 after_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.2124 | Acc: 93.22%
2023-11-21 11:00 test_domain Round:  15 | Epochs:  75 | Domain: c | loss: 1.0177 | Acc: 75.43%
2023-11-21 11:00 before_fed Round:  16 | Epochs:  80 | Domain: p | loss: 0.0153 | Acc: 99.42%
2023-11-21 11:00 before_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.2660 | Acc: 92.79%
2023-11-21 11:00 before_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.2147 | Acc: 94.97%
2023-11-21 11:00 after_fed Round:  16 | Epochs:  80 | Domain: p | loss: 0.0386 | Acc: 98.83%
2023-11-21 11:00 after_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.4723 | Acc: 84.13%
2023-11-21 11:00 after_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.2192 | Acc: 93.22%
2023-11-21 11:00 test_domain Round:  16 | Epochs:  80 | Domain: c | loss: 1.0078 | Acc: 74.62%
2023-11-21 11:01 before_fed Round:  17 | Epochs:  85 | Domain: p | loss: 0.0085 | Acc: 99.42%
2023-11-21 11:01 before_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.3182 | Acc: 93.27%
2023-11-21 11:01 before_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1981 | Acc: 93.97%
2023-11-21 11:01 after_fed Round:  17 | Epochs:  85 | Domain: p | loss: 0.0430 | Acc: 98.25%
2023-11-21 11:01 after_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.4821 | Acc: 85.10%
2023-11-21 11:01 after_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1871 | Acc: 93.22%
2023-11-21 11:01 test_domain Round:  17 | Epochs:  85 | Domain: c | loss: 0.8838 | Acc: 77.35%
