2023-11-19 13:28 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.3740 | Acc: 89.42%
2023-11-19 13:28 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.3065 | Acc: 91.56%
2023-11-19 13:28 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.1578 | Acc: 94.22%
2023-11-19 13:28 Model saved! Best Val Acc: 92.29%
2023-11-19 13:28 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 0.2137 | Acc: 93.11%
2023-11-19 13:28 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.3594 | Acc: 90.38%
2023-11-19 13:28 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1686 | Acc: 95.36%
2023-11-19 13:29 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1670 | Acc: 94.72%
2023-11-19 13:29 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.3959 | Acc: 86.06%
2023-11-19 13:29 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4027 | Acc: 88.19%
2023-11-19 13:29 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1713 | Acc: 94.22%
2023-11-19 13:29 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 0.2254 | Acc: 92.69%
2023-11-19 13:29 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2766 | Acc: 92.79%
2023-11-19 13:29 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2396 | Acc: 93.67%
2023-11-19 13:30 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1471 | Acc: 95.98%
2023-11-19 13:30 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4305 | Acc: 87.98%
2023-11-19 13:30 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.3578 | Acc: 89.87%
2023-11-19 13:30 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1556 | Acc: 94.47%
2023-11-19 13:30 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 0.2599 | Acc: 91.62%
2023-11-19 13:30 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.2916 | Acc: 93.75%
2023-11-19 13:30 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.1876 | Acc: 95.36%
2023-11-19 13:30 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.1493 | Acc: 94.72%
2023-11-19 13:30 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.4230 | Acc: 86.06%
2023-11-19 13:30 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.2907 | Acc: 90.72%
2023-11-19 13:30 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.1536 | Acc: 94.72%
2023-11-19 13:30 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 0.2209 | Acc: 92.75%
2023-11-19 13:31 before_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.3289 | Acc: 92.31%
2023-11-19 13:31 before_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.1598 | Acc: 96.20%
2023-11-19 13:31 before_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1277 | Acc: 95.48%
2023-11-19 13:31 after_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.4639 | Acc: 87.02%
2023-11-19 13:31 after_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.2907 | Acc: 91.56%
2023-11-19 13:31 after_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1556 | Acc: 94.72%
2023-11-19 13:31 test_domain Round:  11 | Epochs:  55 | Domain: p | loss: 0.2754 | Acc: 91.56%
2023-11-19 13:31 before_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.3066 | Acc: 89.42%
2023-11-19 13:32 before_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.2047 | Acc: 95.36%
2023-11-19 13:32 before_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1277 | Acc: 95.23%
2023-11-19 13:32 after_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.4314 | Acc: 87.02%
2023-11-19 13:32 after_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.2701 | Acc: 94.09%
2023-11-19 13:32 after_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1468 | Acc: 94.72%
2023-11-19 13:32 Model saved! Best Val Acc: 92.65%
2023-11-19 13:32 test_domain Round:  12 | Epochs:  60 | Domain: p | loss: 0.2700 | Acc: 91.32%
2023-11-19 13:32 before_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.3208 | Acc: 91.83%
2023-11-19 13:32 before_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.1798 | Acc: 94.94%
2023-11-19 13:33 before_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1246 | Acc: 95.98%
2023-11-19 13:33 after_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.4389 | Acc: 87.02%
2023-11-19 13:33 after_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.3480 | Acc: 90.72%
2023-11-19 13:33 after_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1473 | Acc: 94.97%
2023-11-19 13:33 test_domain Round:  13 | Epochs:  65 | Domain: p | loss: 0.2931 | Acc: 91.56%
2023-11-19 13:33 before_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.2187 | Acc: 94.23%
2023-11-19 13:33 before_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.2051 | Acc: 94.94%
2023-11-19 13:34 before_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1286 | Acc: 94.97%
2023-11-19 13:34 after_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.4301 | Acc: 88.94%
2023-11-19 13:34 after_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.3466 | Acc: 90.72%
2023-11-19 13:34 after_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1532 | Acc: 94.47%
2023-11-19 13:34 test_domain Round:  14 | Epochs:  70 | Domain: p | loss: 0.2752 | Acc: 91.80%
2023-11-19 13:34 before_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.2921 | Acc: 91.83%
2023-11-19 13:34 before_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.1972 | Acc: 95.36%
2023-11-19 13:34 before_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1472 | Acc: 95.98%
2023-11-19 13:34 after_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.4222 | Acc: 87.02%
2023-11-19 13:34 after_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.2991 | Acc: 91.98%
2023-11-19 13:34 after_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1532 | Acc: 94.47%
2023-11-19 13:34 test_domain Round:  15 | Epochs:  75 | Domain: p | loss: 0.2920 | Acc: 92.10%
2023-11-19 13:35 before_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.2724 | Acc: 92.79%
2023-11-19 13:35 before_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.2167 | Acc: 94.51%
2023-11-19 13:35 before_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1377 | Acc: 95.48%
2023-11-19 13:35 after_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.3992 | Acc: 88.94%
2023-11-19 13:35 after_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.2945 | Acc: 93.25%
2023-11-19 13:35 after_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1370 | Acc: 95.23%
2023-11-19 13:35 Model saved! Best Val Acc: 93.12%
2023-11-19 13:35 test_domain Round:  16 | Epochs:  80 | Domain: p | loss: 0.2679 | Acc: 92.46%
2023-11-19 13:35 before_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.2280 | Acc: 93.27%
2023-11-19 13:36 before_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.2242 | Acc: 94.51%
2023-11-19 13:36 before_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1366 | Acc: 95.48%
2023-11-19 13:36 after_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.4031 | Acc: 89.90%
2023-11-19 13:36 after_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.3386 | Acc: 91.56%
2023-11-19 13:36 after_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1395 | Acc: 94.47%
2023-11-19 13:36 test_domain Round:  17 | Epochs:  85 | Domain: p | loss: 0.2700 | Acc: 91.92%
2023-11-19 13:36 before_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.2225 | Acc: 93.75%
2023-11-19 13:36 before_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.2063 | Acc: 95.36%
2023-11-19 13:37 before_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1299 | Acc: 96.73%
2023-11-19 13:37 after_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.4445 | Acc: 88.94%
2023-11-19 13:37 after_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.3034 | Acc: 92.41%
2023-11-19 13:37 after_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1652 | Acc: 94.22%
2023-11-19 13:37 test_domain Round:  18 | Epochs:  90 | Domain: p | loss: 0.2952 | Acc: 91.50%
2023-11-19 13:37 before_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.2389 | Acc: 94.23%
2023-11-19 13:37 before_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.2370 | Acc: 94.51%
2023-11-19 13:38 before_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.1307 | Acc: 95.73%
2023-11-19 13:38 after_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.4891 | Acc: 85.10%
2023-11-19 13:38 after_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.3157 | Acc: 92.41%
2023-11-19 13:38 after_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.1439 | Acc: 95.23%
2023-11-19 13:38 test_domain Round:  19 | Epochs:  95 | Domain: p | loss: 0.3394 | Acc: 91.14%
2023-11-19 13:38 before_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.3093 | Acc: 92.31%
2023-11-19 13:38 before_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.2375 | Acc: 94.09%
2023-11-19 13:38 before_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1412 | Acc: 95.73%
2023-11-19 13:38 after_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.4049 | Acc: 87.50%
2023-11-19 13:38 after_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.3500 | Acc: 91.56%
2023-11-19 13:38 after_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1420 | Acc: 95.23%
2023-11-19 13:38 test_domain Round:  20 | Epochs: 100 | Domain: p | loss: 0.2794 | Acc: 91.86%
2023-11-19 13:39 before_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.2887 | Acc: 93.75%
2023-11-19 13:39 before_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.2304 | Acc: 92.83%
2023-11-19 13:39 before_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1307 | Acc: 96.23%
2023-11-19 13:39 after_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.3925 | Acc: 88.94%
2023-11-19 13:39 after_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.2870 | Acc: 91.14%
2023-11-19 13:39 after_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1632 | Acc: 94.97%
2023-11-19 13:39 test_domain Round:  21 | Epochs: 105 | Domain: p | loss: 0.2567 | Acc: 92.69%
2023-11-19 13:40 before_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.2395 | Acc: 93.27%
2023-11-19 13:40 before_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.1829 | Acc: 94.94%
2023-11-19 13:40 before_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1787 | Acc: 94.97%
2023-11-19 13:40 after_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.4005 | Acc: 88.94%
2023-11-19 13:40 after_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.2858 | Acc: 92.83%
2023-11-19 13:40 after_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1783 | Acc: 94.22%
2023-11-19 13:40 test_domain Round:  22 | Epochs: 110 | Domain: p | loss: 0.2549 | Acc: 92.99%
2023-11-19 13:40 before_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.2775 | Acc: 92.79%
2023-11-19 13:41 before_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.2052 | Acc: 94.94%
2023-11-19 13:41 before_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1120 | Acc: 96.73%
2023-11-19 13:41 after_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.4892 | Acc: 87.50%
2023-11-19 13:41 after_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.2585 | Acc: 93.25%
2023-11-19 13:41 after_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1706 | Acc: 94.72%
2023-11-19 13:41 test_domain Round:  23 | Epochs: 115 | Domain: p | loss: 0.3062 | Acc: 91.56%
2023-11-19 13:41 before_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.2868 | Acc: 91.83%
2023-11-19 13:41 before_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.1997 | Acc: 94.51%
2023-11-19 13:42 before_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1491 | Acc: 95.48%
2023-11-19 13:42 after_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.3901 | Acc: 89.90%
2023-11-19 13:42 after_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.3001 | Acc: 91.98%
2023-11-19 13:42 after_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1604 | Acc: 93.72%
2023-11-19 13:42 test_domain Round:  24 | Epochs: 120 | Domain: p | loss: 0.2553 | Acc: 93.05%
2023-11-19 13:42 before_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.2400 | Acc: 93.27%
2023-11-19 13:42 before_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.2854 | Acc: 94.09%
2023-11-19 13:43 before_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1470 | Acc: 96.23%
2023-11-19 13:43 after_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.4100 | Acc: 89.42%
2023-11-19 13:43 after_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.4146 | Acc: 89.87%
2023-11-19 13:43 after_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1619 | Acc: 94.97%
