2023-11-20 11:51 after_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.0449 | Acc: 99.42%
2023-11-20 11:51 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.4981 | Acc: 83.65%
2023-11-20 11:51 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.2002 | Acc: 92.96%
2023-11-20 11:51 Model saved! Best Val Acc: 91.88%
2023-11-20 11:51 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 0.8416 | Acc: 75.13%
2023-11-20 11:52 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0112 | Acc: 100.00%
2023-11-20 11:52 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2723 | Acc: 91.35%
2023-11-20 11:52 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1691 | Acc: 93.97%
2023-11-20 11:52 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0371 | Acc: 99.42%
2023-11-20 11:52 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.4498 | Acc: 87.02%
2023-11-20 11:52 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1664 | Acc: 94.22%
2023-11-20 11:52 Model saved! Best Val Acc: 93.43%
2023-11-20 11:52 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 0.7049 | Acc: 78.54%
2023-11-20 11:52 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0124 | Acc: 100.00%
2023-11-20 11:53 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2106 | Acc: 92.79%
2023-11-20 11:53 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1420 | Acc: 94.47%
2023-11-20 11:53 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0357 | Acc: 98.25%
2023-11-20 11:53 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4788 | Acc: 87.02%
2023-11-20 11:53 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1735 | Acc: 93.47%
2023-11-20 11:53 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 0.8851 | Acc: 75.38%
2023-11-20 11:53 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0173 | Acc: 99.42%
