2023-11-20 23:42 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.5265 | Acc: 82.21%
2023-11-20 23:42 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.3810 | Acc: 89.45%
2023-11-20 23:42 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.1521 | Acc: 93.47%
2023-11-20 23:42 Model saved! Best Val Acc: 89.57%
2023-11-20 23:42 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 0.2391 | Acc: 92.40%
2023-11-20 23:43 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2638 | Acc: 93.27%
2023-11-20 23:43 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.2124 | Acc: 95.36%
2023-11-20 23:43 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1182 | Acc: 95.48%
2023-11-20 23:43 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.5115 | Acc: 84.13%
2023-11-20 23:43 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.3612 | Acc: 91.56%
2023-11-20 23:43 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1422 | Acc: 93.97%
2023-11-20 23:43 Model saved! Best Val Acc: 90.87%
2023-11-20 23:43 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 0.2348 | Acc: 92.93%
2023-11-20 23:43 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2794 | Acc: 89.90%
2023-11-20 23:44 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2274 | Acc: 95.36%
2023-11-20 23:44 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1641 | Acc: 94.22%
2023-11-20 23:44 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4504 | Acc: 86.06%
2023-11-20 23:44 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.3511 | Acc: 91.14%
2023-11-20 23:44 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1753 | Acc: 93.22%
2023-11-20 23:44 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 0.2492 | Acc: 92.40%
2023-11-20 23:44 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.3123 | Acc: 93.27%
2023-11-20 23:44 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.2440 | Acc: 93.67%
2023-11-20 23:45 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.1153 | Acc: 96.23%
2023-11-20 23:45 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.4620 | Acc: 87.02%
2023-11-20 23:45 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.4720 | Acc: 87.76%
2023-11-20 23:45 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.1215 | Acc: 95.98%
2023-11-20 23:45 Model saved! Best Val Acc: 91.46%
2023-11-20 23:45 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 0.2722 | Acc: 91.92%
2023-11-20 23:45 before_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.2567 | Acc: 91.83%
2023-11-20 23:45 before_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.2071 | Acc: 95.36%
2023-11-20 23:46 before_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1415 | Acc: 94.72%
2023-11-20 23:46 after_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.3853 | Acc: 87.02%
2023-11-20 23:46 after_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.3718 | Acc: 90.72%
2023-11-20 23:46 after_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.1380 | Acc: 94.22%
2023-11-20 23:46 Model saved! Best Val Acc: 91.46%
2023-11-20 23:46 test_domain Round:  11 | Epochs:  55 | Domain: p | loss: 0.2656 | Acc: 92.28%
2023-11-20 23:46 before_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.3183 | Acc: 91.83%
2023-11-20 23:46 before_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.2065 | Acc: 96.62%
2023-11-20 23:46 before_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1419 | Acc: 94.47%
2023-11-20 23:46 after_fed Round:  12 | Epochs:  60 | Domain: a | loss: 0.3987 | Acc: 87.50%
2023-11-20 23:46 after_fed Round:  12 | Epochs:  60 | Domain: c | loss: 0.3297 | Acc: 91.14%
2023-11-20 23:46 after_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.1316 | Acc: 94.72%
2023-11-20 23:46 Model saved! Best Val Acc: 91.94%
2023-11-20 23:46 test_domain Round:  12 | Epochs:  60 | Domain: p | loss: 0.2387 | Acc: 92.69%
2023-11-20 23:47 before_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.2600 | Acc: 92.79%
2023-11-20 23:47 before_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.2111 | Acc: 95.78%
2023-11-20 23:47 before_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1196 | Acc: 95.73%
2023-11-20 23:47 after_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.4385 | Acc: 86.54%
2023-11-20 23:47 after_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.3535 | Acc: 90.72%
2023-11-20 23:47 after_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1267 | Acc: 94.72%
2023-11-20 23:47 test_domain Round:  13 | Epochs:  65 | Domain: p | loss: 0.2869 | Acc: 91.32%
2023-11-20 23:47 before_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.2637 | Acc: 94.23%
2023-11-20 23:48 before_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.2188 | Acc: 94.09%
2023-11-20 23:48 before_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1312 | Acc: 95.48%
2023-11-20 23:48 after_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.4438 | Acc: 87.50%
2023-11-20 23:48 after_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.3748 | Acc: 90.30%
2023-11-20 23:48 after_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1503 | Acc: 93.97%
