2023-11-20 18:02 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.2948 | Acc: 92.83%
2023-11-20 18:02 Model saved! Best Val Acc: 93.98%
2023-11-20 18:02 test_domain Round:   7 | Epochs:  35 | Domain: s | loss: 0.6125 | Acc: 79.23%
2023-11-20 18:02 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0231 | Acc: 99.42%
2023-11-20 18:02 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2982 | Acc: 91.35%
2023-11-20 18:03 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1438 | Acc: 95.36%
2023-11-20 18:03 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0299 | Acc: 98.83%
2023-11-20 18:03 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2991 | Acc: 90.87%
2023-11-20 18:03 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.3057 | Acc: 91.14%
2023-11-20 18:03 test_domain Round:   8 | Epochs:  40 | Domain: s | loss: 0.6774 | Acc: 77.76%
2023-11-20 18:03 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0311 | Acc: 99.42%
2023-11-20 18:03 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2931 | Acc: 91.35%
2023-11-20 18:03 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.1675 | Acc: 95.78%
2023-11-20 18:03 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0337 | Acc: 98.25%
2023-11-20 18:03 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.3326 | Acc: 90.87%
2023-11-20 18:03 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.3080 | Acc: 91.98%
2023-11-20 18:03 test_domain Round:   9 | Epochs:  45 | Domain: s | loss: 0.6290 | Acc: 79.13%
2023-11-20 18:03 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0178 | Acc: 99.42%
2023-11-20 18:04 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.3145 | Acc: 92.31%
2023-11-20 18:04 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.1906 | Acc: 94.51%
2023-11-20 18:04 after_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0285 | Acc: 99.42%
2023-11-20 18:04 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.3005 | Acc: 90.87%
2023-11-20 18:04 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.2920 | Acc: 91.56%
2023-11-20 18:04 test_domain Round:  10 | Epochs:  50 | Domain: s | loss: 0.6795 | Acc: 77.86%
2023-11-20 18:04 before_fed Round:  11 | Epochs:  55 | Domain: p | loss: 0.0332 | Acc: 99.42%
2023-11-20 18:04 before_fed Round:  11 | Epochs:  55 | Domain: a | loss: 0.2868 | Acc: 91.83%
2023-11-20 18:05 before_fed Round:  11 | Epochs:  55 | Domain: c | loss: 0.1950 | Acc: 94.51%
